HMP_Name,NCBITaxon_Name,NCBITaxon_ID,NCBITaxon_Rank,Has_Organismal_Trait
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eubacterium,Eubacterium,NCBITaxon:1730,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,Lachnospiraceae,NCBITaxon:186803,family,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,Rikenellaceae,NCBITaxon:171550,family,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__unclassified|g__unclassified,unclassified Eubacteriales,NCBITaxon:39779,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium,Dehalobacterium,NCBITaxon:51514,genus,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,Parabacteroides merdae,NCBITaxon:46503,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira,Oscillospira,NCBITaxon:119852,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,Roseburia intestinalis,NCBITaxon:166486,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_uncl|g__Blautia|s__Blautia_hydrogenotrophica,Blautia hydrogenotrophica,NCBITaxon:53443,species,TRUE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,Gordonibacter pamelaeae,NCBITaxon:471189,species,TRUE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,Coriobacteriaceae,NCBITaxon:84107,family,FALSE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,Gammaproteobacteria,NCBITaxon:1236,class,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,Bacteroides eggerthii,NCBITaxon:28111,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_cf,Clostridium cf,not_found,species,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium,Lachnobacterium,NCBITaxon:140625,genus,FALSE
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,Veillonella parvula,NCBITaxon:29466,species,TRUE
k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__unclassified,unclassified Erysipelotrichaceae,NCBITaxon:544447,genus,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,Parabacteroides distasonis,NCBITaxon:823,species,TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,Alistipes putredinis,NCBITaxon:28117,species,TRUE
