	ncbitaxon	rhea	predicate	chebi	uniprotkb
116	NCBITaxon:49981	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X9C0C8
117	NCBITaxon:2049431	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X9B9I3
118	NCBITaxon:1123369	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1M4W5V9
119	NCBITaxon:930117	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1M5CXI0
120	NCBITaxon:1811697	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1V5E0F9
121	NCBITaxon:1852913	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1V5HU44
122	NCBITaxon:1972455	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1W9VU26
123	NCBITaxon:2599074	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A6N7J161
125	NCBITaxon:2052148	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C6A954
126	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C6C598
128	NCBITaxon:1418104	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0C1U110
130	NCBITaxon:218284	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0P6WQ59
131	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A973IPI3
132	NCBITaxon:1872444	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9D9CEZ8
133	NCBITaxon:1347392	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9X2MFZ4
135	NCBITaxon:2217826	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9X9CC00
136	NCBITaxon:694435	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A318SFW1
137	NCBITaxon:1898203	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A351VD69
138	NCBITaxon:911092	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A357VJM8
139	NCBITaxon:2049046	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A358DG45
140	NCBITaxon:41211	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A358QZF2
142	NCBITaxon:2292303	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A396NSF7
143	NCBITaxon:2292993	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A396MUP8
144	NCBITaxon:2292273	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A396QNL6
145	NCBITaxon:2290915	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A398DA06
146	NCBITaxon:2053586	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3B9HWS1
147	NCBITaxon:390874	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A5ILI6
148	NCBITaxon:1805029	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1J5GBF8
149	NCBITaxon:1121323	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1M6UBD4
150	NCBITaxon:1121301	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1M6RGE5
151	NCBITaxon:1888891	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1Q8QZU3
153	NCBITaxon:1852895	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1V5K7W7
154	NCBITaxon:943346	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A562H0V9
155	NCBITaxon:2703815	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A5D0MDX1
156	NCBITaxon:314319	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A5M4B439
157	NCBITaxon:930138	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A662Z0Z3
158	NCBITaxon:1321606	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0A8XDT2
159	NCBITaxon:999408	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0E2HEM3
160	NCBITaxon:1735325	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0Q1CFE3
161	NCBITaxon:2293856	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A424Y3L9
163	NCBITaxon:2510963	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A4R0Z5Z0
164	NCBITaxon:411463	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A5Z9J6
165	NCBITaxon:293826	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A6TWD5
166	NCBITaxon:373903	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:B8CVW4
167	NCBITaxon:272564	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:B8FXG2
168	NCBITaxon:717959	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:D4ILP8
169	NCBITaxon:657322	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:D4K633
170	NCBITaxon:768670	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:E4TGS6
171	NCBITaxon:670487	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:E4U8T6
172	NCBITaxon:1879010	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C0ZW09
173	NCBITaxon:2250272	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C1DKB5
176	NCBITaxon:415242	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7J0BTE3
177	NCBITaxon:2052148	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7V3NTP5
178	NCBITaxon:2584627	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X4IA80
179	NCBITaxon:1435040	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A829TK71
180	NCBITaxon:2731925	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A829ZW46
181	NCBITaxon:2072418	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A855X2D1
182	NCBITaxon:1975524	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2H0XVU5
183	NCBITaxon:2014310	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2M6Y5F5
184	NCBITaxon:2013694	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N2X041
185	NCBITaxon:2043168	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2P9GV84
186	NCBITaxon:2026792	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7V5A0P9
187	NCBITaxon:1898104	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7V5U8M2
189	NCBITaxon:2614251	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X7X629
190	NCBITaxon:1978231	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X7XEP3
191	NCBITaxon:1977903	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X7XPP8
192	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8A8N9
193	NCBITaxon:1903720	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8AZ35
194	NCBITaxon:1898204	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8DBZ0
195	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8EGI5
196	NCBITaxon:2049431	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8G0Q4
197	NCBITaxon:1409	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7Y8V1B7
198	NCBITaxon:2737049	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7Y8WIF8
200	NCBITaxon:1446494	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A806LDD5
202	NCBITaxon:1793963	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A150F920
205	NCBITaxon:1761766	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9X8LYL5
206	NCBITaxon:2903556	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0AA37IZC4
207	NCBITaxon:3070661	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0AA51C740
208	NCBITaxon:1898209	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A350RCU5
209	NCBITaxon:1945593	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A350TIL1
210	NCBITaxon:1898203	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A355YL32
211	NCBITaxon:2173853	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A372KKP9
212	NCBITaxon:2303991	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A372LH60
213	NCBITaxon:1879010	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A356BYJ6
214	NCBITaxon:2026756	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A928C6M5
215	NCBITaxon:1869227	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A935YFY1
216	NCBITaxon:59823	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A943UQM6
217	NCBITaxon:2485925	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A943WYQ9
218	NCBITaxon:1973923	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2M7DY34
219	NCBITaxon:2013842	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N1QTW7
220	NCBITaxon:2013830	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N1UBN2
221	NCBITaxon:2013829	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N1TQX9
222	NCBITaxon:2136176	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2T3W7L2
223	NCBITaxon:1898206	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A8B5WQ34
225	NCBITaxon:1879010	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3C0J2M5
226	NCBITaxon:48412	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3C0KWE5
227	NCBITaxon:1898203	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3C0NYW9
228	NCBITaxon:2049044	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D2W9U4
229	NCBITaxon:1945593	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D2YJJ3
231	NCBITaxon:1962908	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A923IDA7
233	NCBITaxon:9606	RHEA:72051	biolink:has_participant	CHEBI:17968	UniprotKB:Q8IVM8
234	NCBITaxon:9606	RHEA:40475	biolink:has_participant	CHEBI:17968	UniprotKB:P16233
235	NCBITaxon:9606	RHEA:40475	biolink:has_participant	CHEBI:17968	UniprotKB:P06858
236	NCBITaxon:9606	RHEA:40475	biolink:has_participant	CHEBI:17968	UniprotKB:P11150
237	NCBITaxon:9606	RHEA:45248	biolink:has_participant	CHEBI:17968	UniprotKB:D9IX65
238	NCBITaxon:9606	RHEA:45248	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0H3WC42
239	NCBITaxon:9606	RHEA:45248	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0S2Z452
240	NCBITaxon:9606	RHEA:45248	biolink:has_participant	CHEBI:17968	UniprotKB:B7Z6C3
241	NCBITaxon:1385513	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0A2UYR8
242	NCBITaxon:1385512	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0A5G992
243	NCBITaxon:1602169	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0D0HG16
244	NCBITaxon:404937	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0D0RVL1
245	NCBITaxon:712411	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0K1F3R7
246	NCBITaxon:1555112	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0K2SFT7
247	NCBITaxon:1262949	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:R5TI22
248	NCBITaxon:1639118	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2T5BXB8
249	NCBITaxon:665099	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2V3A429
250	NCBITaxon:157907	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A356PB26
251	NCBITaxon:157907	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A356P969
252	NCBITaxon:2053627	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A356U847
253	NCBITaxon:2738	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A369AWK2
254	NCBITaxon:1297424	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A369B345
255	NCBITaxon:2053627	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A356UBB8
256	NCBITaxon:55509	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A922ZUA5
257	NCBITaxon:2771434	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A926NCS9
259	NCBITaxon:2044939	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A941WRL8
260	NCBITaxon:227476	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1V3FTD5
262	NCBITaxon:2584660	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A6N7SRQ5
263	NCBITaxon:2024830	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C8DTI3
264	NCBITaxon:2608404	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C9LWL0
265	NCBITaxon:391774	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0H3AA91
266	NCBITaxon:1898203	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D2I4K4
267	NCBITaxon:2049040	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D2PRD4
268	NCBITaxon:85831	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3L8A7P4
269	NCBITaxon:2292368	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A417VR16
270	NCBITaxon:1898207	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A970LIE2
271	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A970NDT7
272	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A970Q3V4
273	NCBITaxon:839	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9D5P1U7
274	NCBITaxon:2748031	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9D9GIG7
275	NCBITaxon:2840669	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9D9EAM1
276	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9E3S908
277	NCBITaxon:2024830	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2E5F9J3
278	NCBITaxon:2030813	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2G2DUV6
279	NCBITaxon:338188	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7J4YNT0
280	NCBITaxon:2731377	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7G9WBW8
