Value,Gold_Standard,Organismal,Functional
NCBITaxon:197162,1,0,0
NCBITaxon:2005473,0,0,1
NCBITaxon:2005519,0,0,1
NCBITaxon:2005520,0,0,1
NCBITaxon:2005523,0,0,1
NCBITaxon:200667,0,0,1
NCBITaxon:2008793,0,0,1
NCBITaxon:2008794,0,0,1
NCBITaxon:2008795,0,0,1
NCBITaxon:2012,1,0,0
NCBITaxon:203492,1,0,1
NCBITaxon:2038695,0,0,1
NCBITaxon:2042895,0,0,1
NCBITaxon:204434,0,0,1
NCBITaxon:2049,0,0,1
NCBITaxon:2092,0,0,1
NCBITaxon:213116,0,0,1
NCBITaxon:213119,0,0,1
NCBITaxon:213121,1,0,1
NCBITaxon:213421,0,0,1
NCBITaxon:213422,1,0,1
NCBITaxon:213465,1,0,1
NCBITaxon:213468,0,0,1
NCBITaxon:2138247,0,0,1
NCBITaxon:2146,0,0,1
NCBITaxon:2152899,0,0,1
NCBITaxon:216572,1,1,1
NCBITaxon:2172021,0,0,1
NCBITaxon:219687,0,0,1
NCBITaxon:224380,0,0,1
NCBITaxon:224464,1,0,0
NCBITaxon:2419832,0,0,1
NCBITaxon:2498708,0,0,1
NCBITaxon:2545691,0,0,1
NCBITaxon:2562242,0,0,1
NCBITaxon:2562244,0,0,1
NCBITaxon:2603322,0,0,1
NCBITaxon:2691357,0,0,1
NCBITaxon:2703813,0,0,1
NCBITaxon:2760872,0,0,1
NCBITaxon:2770092,0,0,1
NCBITaxon:2770093,0,0,1
NCBITaxon:2785443,0,0,1
NCBITaxon:2786988,0,0,1
NCBITaxon:2791015,0,0,1
NCBITaxon:28056,1,0,1
NCBITaxon:2812024,0,0,1
NCBITaxon:2843305,0,0,1
NCBITaxon:2845253,1,0,1
NCBITaxon:2848916,0,0,1
NCBITaxon:2854170,0,0,1
NCBITaxon:2867375,0,0,1
NCBITaxon:2886822,0,0,1
NCBITaxon:2904714,0,0,1
NCBITaxon:292628,0,0,1
NCBITaxon:2937909,1,0,1
NCBITaxon:2937910,0,0,1
NCBITaxon:2945021,0,0,1
NCBITaxon:2945022,0,0,1
NCBITaxon:2951104,0,0,1
NCBITaxon:2964538,0,0,1
NCBITaxon:2975441,0,0,1
NCBITaxon:2975520,0,0,1
NCBITaxon:2976758,0,0,1
NCBITaxon:2992717,0,0,1
NCBITaxon:2992718,0,0,1
NCBITaxon:2992719,0,0,1
NCBITaxon:3018741,0,0,1
NCBITaxon:3023805,0,0,1
NCBITaxon:3029085,0,0,1
NCBITaxon:3029086,0,0,1
NCBITaxon:3029087,0,0,1
NCBITaxon:3029088,0,0,1
NCBITaxon:3029089,0,0,1
NCBITaxon:3030910,0,0,1
NCBITaxon:3031622,0,0,1
NCBITaxon:3031624,0,0,1
NCBITaxon:3031626,0,0,1
NCBITaxon:3031627,0,0,1
NCBITaxon:3039168,0,0,1
NCBITaxon:3039170,0,0,1
NCBITaxon:3039865,0,0,1
NCBITaxon:3046411,0,0,1
NCBITaxon:3046412,0,0,1
NCBITaxon:3071913,0,0,1
NCBITaxon:3071915,0,0,1
NCBITaxon:3076164,0,0,1
NCBITaxon:3076165,0,0,1
NCBITaxon:3078170,0,0,1
NCBITaxon:3082771,0,0,1
NCBITaxon:3085335,0,0,1
NCBITaxon:3085642,0,1,1
NCBITaxon:3086088,0,0,1
NCBITaxon:31,1,0,1
NCBITaxon:3118652,0,1,1
NCBITaxon:3118653,0,0,1
NCBITaxon:3118654,0,0,1
NCBITaxon:3118655,0,0,1
NCBITaxon:3118656,0,0,1
NCBITaxon:3118657,0,0,1
NCBITaxon:3118658,0,0,1
NCBITaxon:3120161,0,0,1
NCBITaxon:3120162,0,0,1
NCBITaxon:3120708,0,0,1
NCBITaxon:3135529,0,0,1
NCBITaxon:31953,0,0,1
NCBITaxon:31957,0,0,1
NCBITaxon:31977,1,0,1
NCBITaxon:31979,1,1,1
NCBITaxon:31984,1,0,1
NCBITaxon:31989,0,0,1
NCBITaxon:332247,0,0,1
NCBITaxon:335928,0,0,1
NCBITaxon:33958,0,0,1
NCBITaxon:39,1,0,0
NCBITaxon:403,0,0,1
NCBITaxon:41294,0,0,1
NCBITaxon:41297,0,0,1
NCBITaxon:433,0,0,1
NCBITaxon:453228,1,0,1
NCBITaxon:45401,0,0,1
NCBITaxon:471823,0,0,1
NCBITaxon:471825,1,0,0
NCBITaxon:485255,0,0,1
NCBITaxon:49,1,0,0
NCBITaxon:49546,0,0,1
NCBITaxon:53434,0,0,1
NCBITaxon:539000,0,0,1
NCBITaxon:539738,0,0,1
NCBITaxon:541019,0,0,1
NCBITaxon:543,0,0,1
NCBITaxon:543313,0,0,1
NCBITaxon:543314,0,0,1
NCBITaxon:543347,0,0,1
NCBITaxon:543349,0,0,1
NCBITaxon:543371,0,0,1
NCBITaxon:558415,0,0,1
NCBITaxon:563835,0,0,1
NCBITaxon:574976,0,0,1
NCBITaxon:641,0,0,1
NCBITaxon:641876,0,0,1
NCBITaxon:649777,0,0,1
NCBITaxon:666507,0,0,1
NCBITaxon:68298,1,0,1
NCBITaxon:69277,0,0,1
NCBITaxon:693073,0,0,1
NCBITaxon:712,0,0,1
NCBITaxon:72276,0,0,1
NCBITaxon:72293,0,0,1
NCBITaxon:75787,0,0,1
NCBITaxon:80864,1,0,1
NCBITaxon:815,0,0,1
NCBITaxon:81852,0,0,1
NCBITaxon:84107,0,0,1
NCBITaxon:84642,0,0,1
NCBITaxon:85015,1,0,0
NCBITaxon:85016,0,0,1
NCBITaxon:85018,0,0,1
NCBITaxon:85021,1,0,0
NCBITaxon:85034,1,0,0
NCBITaxon:90964,0,0,1
NCBITaxon:909930,0,1,1
NCBITaxon:936456,1,0,0
NCBITaxon:9604,0,0,1
NCBITaxon:972,1,0,1
NCBITaxon:990719,0,0,1
not found,1,0,1
