Family	Name	Family_ID	Name_ID
Lachnospiraceae	Shuttleworthia satelles DSM 14600	NCBITaxon:186803	NCBITaxon:626523
C. Incertae Sedis XI	Anaerococcus hydrogenalis ACS-025-V-Sch4	not found	NCBITaxon:879306
C. Incertae Sedis XI	Anaerococcus hydrogenalis DSM 7454	not found	NCBITaxon:561177
C. Incertae Sedis XI	Anaerococcus lactolyticus ATCC 51172	not found	NCBITaxon:525254
C. Incertae Sedis XI	Anaerococcus prevotii PC 1, DSM 20548	not found	not found
C. Incertae Sedis XI	Anaerococcus tetradius ATCC 35098	not found	NCBITaxon:525255
C. Incertae Sedis XI	Anaerococcus vaginalis ATCC 51170	not found	NCBITaxon:655811
C. Incertae Sedis XI	Peptoniphilus duerdenii ATCC BAA-1640	not found	NCBITaxon:862517
C. Incertae Sedis XI	Peptoniphilus harei ACS-146-V-Sch2b	not found	NCBITaxon:908338
C. Incertae Sedis XI	Peptoniphilus lacrimalis 315-B	not found	NCBITaxon:596330
C. Incertae Sedis XI	Peptoniphilus sp. F0131	not found	not found
C. Incertae Sedis XI	Peptoniphilus sp. F0141	not found	not found
Peptostreptococcaceae	Alkaliphilus metalliredigens QYMF	NCBITaxon:186804	NCBITaxon:293826
Peptostreptococcaceae	Alkaliphilus oremlandii OhILAs	NCBITaxon:186804	NCBITaxon:350688
Peptostreptococcaceae	Clostridium difficile 630 (epidemic type X)	NCBITaxon:186804	not found
Peptostreptococcaceae	Clostridium difficile BI9	NCBITaxon:186804	NCBITaxon:699032
Peptostreptococcaceae	Clostridium difficile CD196	NCBITaxon:186804	NCBITaxon:645462
Peptostreptococcaceae	Clostridium difficile CIP 107932	NCBITaxon:186804	NCBITaxon:499176
Peptostreptococcaceae	Clostridium difficile NAP07	NCBITaxon:186804	NCBITaxon:525258
Peptostreptococcaceae	Clostridium difficile NAP08	NCBITaxon:186804	NCBITaxon:525259
Peptostreptococcaceae	Clostridium difficile QCD-23m63	NCBITaxon:186804	NCBITaxon:499174
Peptostreptococcaceae	Clostridium difficile QCD-32g58	NCBITaxon:186804	NCBITaxon:367459
Peptostreptococcaceae	Clostridium difficile QCD-37x79, NAP1a/001	NCBITaxon:186804	not found
Peptostreptococcaceae	Clostridium difficile QCD-63q42	NCBITaxon:186804	NCBITaxon:479831
Peptostreptococcaceae	Clostridium difficile QCD-66c26	NCBITaxon:186804	NCBITaxon:455631
Peptostreptococcaceae	Clostridium difficile QCD-76w55, NAP1	NCBITaxon:186804	not found
Peptostreptococcaceae	Clostridium difficile QCD-97b34, NAP1b/006	NCBITaxon:186804	not found
Peptostreptococcaceae	Clostridium difficile R20291	NCBITaxon:186804	NCBITaxon:645463
Peptostreptococcaceae	Clostridium sticklandii DSM 519	NCBITaxon:186804	NCBITaxon:499177
Peptostreptococcaceae	Eubacterium saphenum ATCC 49989	NCBITaxon:186804	NCBITaxon:592031
Peptostreptococcaceae	Eubacterium yurii margaretiae ATCC 43715	NCBITaxon:186804	not found
Eubacteriaceae	Anaerofustis stercorihominis DSM 17244	NCBITaxon:186806	NCBITaxon:445971
Eubacteriaceae	Eubacterium limosum KIST612	NCBITaxon:186806	NCBITaxon:903814
Eubacteriaceae	Pseudoramibacter alactolyticus ATCC 23263	NCBITaxon:186806	NCBITaxon:887929
Clostridiaceae	Clostridium acetobutylicum ATCC 824	NCBITaxon:31979	NCBITaxon:272562
Clostridiaceae	Clostridium acetobutylicum DSM 1731	NCBITaxon:31979	NCBITaxon:991791
Clostridiaceae	Clostridium acetobutylicum EA 2018	NCBITaxon:31979	NCBITaxon:863638
Clostridiaceae	Clostridium beijerinckii NCIMB 8052	NCBITaxon:31979	NCBITaxon:290402
Clostridiaceae	Clostridium botulinum A2 Kyoto-F	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum B Eklund 17B	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum Ba4 657	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum Bf	NCBITaxon:31979	NCBITaxon:445336
Clostridiaceae	Clostridium botulinum BKT015925	NCBITaxon:31979	NCBITaxon:929506
Clostridiaceae	Clostridium botulinum BoNT/A1 Hall	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum BoNT/A1 ATCC 19397	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum BoNT/A3 Loch Maree	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum BoNT/B1 Okra	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum D 1873	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum E1 BoNT E Beluga	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum E3 Alaska E43	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum F 230613	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum F Langeland	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum H04402 065	NCBITaxon:31979	NCBITaxon:941968
Clostridiaceae	Clostridium botulinum NCTC 2916	NCBITaxon:31979	NCBITaxon:445335
Clostridiaceae	Clostridium botulinum type A - Hall	NCBITaxon:31979	not found
Clostridiaceae	Clostridium botulinum type C - Eklund	NCBITaxon:31979	not found
Clostridiaceae	Clostridium butyricum 5521	NCBITaxon:31979	NCBITaxon:447214
Clostridiaceae	Clostridium butyricum E4, BoNT E BL5262	NCBITaxon:31979	not found
Clostridiaceae	Clostridium carboxidivorans P7, DSM 15243	NCBITaxon:31979	not found
Clostridiaceae	Clostridium cellulovorans 743B, ATCC 35296	NCBITaxon:31979	not found
Clostridiaceae	Clostridium cf. saccharolyticum K10	NCBITaxon:31979	NCBITaxon:717608
Clostridiaceae	Clostridium kluyveri DSM 555	NCBITaxon:31979	NCBITaxon:431943
Clostridiaceae	Clostridium kluyveri NBRC 12016	NCBITaxon:31979	NCBITaxon:583346
Clostridiaceae	Clostridium novyi NT	NCBITaxon:31979	NCBITaxon:386415
Clostridiaceae	Clostridium perfringens 13	NCBITaxon:31979	NCBITaxon:195102
Clostridiaceae	Clostridium perfringens ATCC 13124	NCBITaxon:31979	NCBITaxon:195103
Clostridiaceae	Clostridium perfringens CPE F4969	NCBITaxon:31979	not found
Clostridiaceae	Clostridium perfringens NCTC 8239	NCBITaxon:31979	NCBITaxon:451757
Clostridiaceae	Clostridium perfringens SM101	NCBITaxon:31979	NCBITaxon:289380
Clostridiaceae	Clostridium perfringens type B - ATCC 3626	NCBITaxon:31979	not found
Clostridiaceae	Clostridium perfringens type C - JGS1495	NCBITaxon:31979	not found
Clostridiaceae	Clostridium perfringens type D - JGS1721	NCBITaxon:31979	not found
Clostridiaceae	Clostridium perfringens type E - JGS1987	NCBITaxon:31979	not found
Clostridiaceae	Clostridium sp. M62/1	NCBITaxon:31979	NCBITaxon:411486
Clostridiaceae	Clostridium sp. 7_2_43FAA	NCBITaxon:31979	NCBITaxon:457396
Clostridiaceae	Clostridium sp. L2-50	NCBITaxon:31979	NCBITaxon:411489
Clostridiaceae	Clostridium sp. SS2/1	NCBITaxon:31979	NCBITaxon:411484
Clostridiaceae	Clostridium sp. SY8519	NCBITaxon:31979	NCBITaxon:1042156
Clostridiaceae	Clostridium sporogenes ATCC 15579	NCBITaxon:31979	NCBITaxon:471871
Clostridiaceae	Clostridium symbiosum WAL-14163	NCBITaxon:31979	NCBITaxon:742740
Clostridiaceae	Clostridium symbiosum WAL-14673	NCBITaxon:31979	NCBITaxon:742741
Clostridiaceae	Clostridium tetani Massachusetts E88	NCBITaxon:31979	not found
Ruminococcaceae	Anaerotruncus colihominis DSM 17241	NCBITaxon:216572	NCBITaxon:445972
Ruminococcaceae	Faecalibacterium cf. prausnitzii KLE1255	NCBITaxon:216572	NCBITaxon:748224
Ruminococcaceae	Faecalibacterium prausnitzii A2-165	NCBITaxon:216572	not found
Ruminococcaceae	Faecalibacterium prausnitzii ATCC 27768	NCBITaxon:216572	not found
Ruminococcaceae	Faecalibacterium prausnitzii M21/2	NCBITaxon:216572	NCBITaxon:411485
Ruminococcaceae	Faecalibacterium prausnitzii SL3/3	NCBITaxon:216572	NCBITaxon:657322
Ruminococcaceae	Ruminococcus obeum D16	NCBITaxon:216572	not found
Ruminococcaceae	Subdoligranulum variabile DSM 15176	NCBITaxon:216572	NCBITaxon:411471
Syntrophomonadaceae	Syntrophomonas wolfei Goettingen, DSM 2245B	NCBITaxon:68298	not found
Syntrophomonadaceae	Syntrophothermus lipocalidus DSM 12680	NCBITaxon:68298	NCBITaxon:643648
C. Incertae Sedis III	Thermoanaerobacterium thermosaccharolyticum DSM 571	not found	NCBITaxon:580327
Thermoanaerobacteraceae	Carboxydibrachium pacificum JM, DSM 12653	NCBITaxon:186814	not found
Thermoanaerobacteraceae	Carboxydothermus hydrogenoformans Z-2901	NCBITaxon:186814	NCBITaxon:246194
Thermoanaerobacteraceae	Thermoanaerobacter tengcongensis MB4T	NCBITaxon:186814	not found
Thermoanaerobacteraceae	Thermoanaerobacter wiegelii Rt8.B1	NCBITaxon:186814	NCBITaxon:697303
Erysipelotrichaceae	Clostridium sp. HGF2	NCBITaxon:128827	NCBITaxon:908340
Erysipelotrichaceae	Erysipelotrichaceae bacterium 5_2_54FAA	NCBITaxon:128827	NCBITaxon:552396
Erysipelotrichaceae	Erysipelotrichaceae bacterium sp. 3_1_53	NCBITaxon:128827	NCBITaxon:658659
Erysipelotrichaceae	Eubacterium biforme DSM 3989	NCBITaxon:128827	NCBITaxon:518637
Erysipelotrichaceae	Eubacterium dolichum DSM 3991	NCBITaxon:128827	NCBITaxon:428127
Erysipelotrichaceae	Eubacterium saburreum DSM 3986	NCBITaxon:128827	NCBITaxon:887325
Carnobacteriaceae	Carnobacterium sp. 17-4	NCBITaxon:186828	NCBITaxon:208596
Carnobacteriaceae	Carnobacterium sp. AT7	NCBITaxon:186828	NCBITaxon:333990
Thermoactinomycetaceae	Desmospora sp. 8437	NCBITaxon:186824	NCBITaxon:997346
Peptococcaceae I	Desulfobacterium hafniense DCB-2	not found	not found
Peptococcaceae I	Desulfotomaculum hafniense Y51	not found	not found
Peptococcaceae II	Desulfotomaculum acetoxidans 5575, DSM 771	not found	not found
Peptococcaceae II	Desulfotomaculum reducens MI-1	not found	not found
Heliobacteriaceae	Heliobacterium modesticaldum Ice1	NCBITaxon:31984	not found
Veillonellaceae	Acetomena longum APO-1, DSM 6540	NCBITaxon:31977	not found
Veillonellaceae	Acidaminococcus fermentans VR4, DSM 20731	NCBITaxon:31977	not found
Veillonellaceae	Acidaminococcus sp. D21	NCBITaxon:31977	not found
Veillonellaceae	Megasphaera genomosp. type-1 28L	NCBITaxon:31977	not found
Veillonellaceae	Megasphaera genomosp. UPIT 199-06	NCBITaxon:31977	not found
Veillonellaceae	Megasphaera micronuciformis F0359	NCBITaxon:31977	NCBITaxon:706434
Veillonellaceae	Thermosinus carboxydivorans Nor1	NCBITaxon:31977	NCBITaxon:401526
Natranerobiaceae	Dethiobacter alkaliphilus AHT1	not found	not found
Natranerobiaceae	Natranerobius thermophilus JW/NM-WN-LF	not found	not found
Halanaerobiaceae	Halanaerobium praevalens GSL, DSM 2228	NCBITaxon:972	not found
C. Incertae Sedis XVIII	Symbiobacterium thermophilum IAM 14863	not found	NCBITaxon:292459
Glycomycetaceae	Stackebrandtia nassauensis LLR-40K-21, DSM 44728	NCBITaxon:85034	not found
Intrasporangiaceae	Intrasporangium calvum 7KIP, DSM 43043	NCBITaxon:85021	not found
Intrasporangiaceae	Janibacter sp. HTCC2649	NCBITaxon:85021	NCBITaxon:313589
Micromonosporaceae	Micromonospora aurantiaca STCC 27029	NCBITaxon:28056	not found
Micromonosporaceae	Micromonospora sp. L5	NCBITaxon:28056	NCBITaxon:648999
Micromonosporaceae	Salinispora arenicola CNS-205	NCBITaxon:28056	NCBITaxon:391037
Micromonosporaceae	Salinispora tropica CNB-440	NCBITaxon:28056	NCBITaxon:369723
Micromonosporaceae	Verrucosispora maris AB-18-032	NCBITaxon:28056	NCBITaxon:263358
Nocardioidaceae	Kribbella flavida IFO 14399, DSM 17836	NCBITaxon:85015	not found
Nocardioidaceae	Nocardioidaceae bacterium Broad-1	NCBITaxon:85015	NCBITaxon:408672
Thermomonosporaceae	Thermomonospora curvata DSM 43183	NCBITaxon:2012	NCBITaxon:471852
Haloplasma contractile	Haloplasma contractile SSD-17B	NCBITaxon:471825	NCBITaxon:1033810
Desulfurispirillum indicum	Desulfurispirillum indicum S5	NCBITaxon:936456	NCBITaxon:653733
Deferribacter desulfuricans	Deferribacter desulfuricans SSM1, DSM 14783	NCBITaxon:197162	not found
Comamonadaceae	Rhodoferax ferrireducens T118	NCBITaxon:80864	NCBITaxon:338969
Cystobacteraceae	Stigmatella aurantiaca DW4/3-1	NCBITaxon:39	NCBITaxon:378806
Desulfarculaceae	Desulfarculus baarsii 2st14, DSM 2075	NCBITaxon:453228	not found
Desulfobulbaceae	Desulfobulbus propionicus 1pr3, DSM 2032	NCBITaxon:213121	not found
Geobacteraceae	Geobacter bemidjiensis Bem, DSM 16622	NCBITaxon:213422	not found
Geobacteraceae	Geobacter metallireducens GS-15	NCBITaxon:213422	NCBITaxon:269799
Geobacteraceae	Geobacter sp. FRC-32	NCBITaxon:213422	NCBITaxon:316067
Geobacteraceae	Geobacter sp. M18	NCBITaxon:213422	NCBITaxon:443143
Geobacteraceae	Geobacter sp. M21	NCBITaxon:213422	NCBITaxon:443144
Geobacteraceae	Geobacter uraniireducens Rf4	NCBITaxon:213422	NCBITaxon:351605
Haliangiaceae	Haliangium ochraceum SMP-2, DSM 14365	NCBITaxon:224464	not found
Myxococcaceae	Anaeromyxobacter dehalogenans 2CP-1	NCBITaxon:31	NCBITaxon:455488
Myxococcaceae	Anaeromyxobacter dehalogenans 2CP-C	NCBITaxon:31	NCBITaxon:290397
Myxococcaceae	Anaeromyxobacter sp K	NCBITaxon:31	not found
Myxococcaceae	Anaeromyxobacter sp. Fw109-5	NCBITaxon:31	NCBITaxon:404589
Myxococcaceae	Myxococcus fulvus HW-1	NCBITaxon:31	NCBITaxon:483219
Myxococcaceae	Myxococcus xanthus DK 1622	NCBITaxon:31	NCBITaxon:246197
Polyangiaceae	Sorangium cellulosum So ce 56	NCBITaxon:49	not found
Syntrophobacteraceae	Syntrophobacter fumaroxidans MPOB	NCBITaxon:213465	NCBITaxon:335543
unclassified	delta proteobacterium NaphS2	NCBITaxon:12908	NCBITaxon:88274
Fusobacteriaceae	Fusobacterium gonidiaformans ATCC 25563	NCBITaxon:203492	NCBITaxon:469615
Fusobacteriaceae	Fusobacterium mortiferum ATCC 9817	NCBITaxon:203492	NCBITaxon:469616
Fusobacteriaceae	Fusobacterium nucleatum nucleatum ATCC 23726	NCBITaxon:203492	not found
Fusobacteriaceae	Fusobacterium nucleatum nucleatum ATCC 25586	NCBITaxon:203492	not found
Fusobacteriaceae	Fusobacterium nucleatum polymorphum ATCC 49256	NCBITaxon:203492	not found
Fusobacteriaceae	Fusobacterium periodonticum ATCC 33693	NCBITaxon:203492	NCBITaxon:546275
Fusobacteriaceae	Fusobacterium sp. 1_1_41FAA	NCBITaxon:203492	NCBITaxon:469621
Fusobacteriaceae	Fusobacterium sp. 11_3_2	NCBITaxon:203492	NCBITaxon:457403
Fusobacteriaceae	Fusobacterium sp. 2_1_31	NCBITaxon:203492	NCBITaxon:469599
Fusobacteriaceae	Fusobacterium sp. 21_1A	NCBITaxon:203492	NCBITaxon:469601
Fusobacteriaceae	Fusobacterium sp. 3_1_27	NCBITaxon:203492	NCBITaxon:469602
Fusobacteriaceae	Fusobacterium sp. 3_1_33	NCBITaxon:203492	NCBITaxon:469603
Fusobacteriaceae	Fusobacterium sp. 3_1_36A2	NCBITaxon:203492	NCBITaxon:469604
Fusobacteriaceae	Fusobacterium sp. 3_1_5R	NCBITaxon:203492	NCBITaxon:469605
Fusobacteriaceae	Fusobacterium sp. 4_1_13	NCBITaxon:203492	NCBITaxon:469606
Fusobacteriaceae	Fusobacterium sp. 7_1	NCBITaxon:203492	NCBITaxon:457405
Fusobacteriaceae	Fusobacterium sp. D11	NCBITaxon:203492	NCBITaxon:556264
Fusobacteriaceae	Fusobacterium sp. D12	NCBITaxon:203492	NCBITaxon:556263
Fusobacteriaceae	Fusobacterium ulcerans ATCC 49185	NCBITaxon:203492	NCBITaxon:469617
Fusobacteriaceae	Fusobacterium varium ATCC 27725	NCBITaxon:203492	NCBITaxon:469618
Fusobacteriaceae	Ilyobacter polytropus CuHBu1, DSM 2926	NCBITaxon:203492	not found
Brachyspiraceae	Brachyspira hyodysenteriae WA1, ATCC 49526	NCBITaxon:143786	not found
Brachyspiraceae	Brachyspira murdochii 56-150, DSM 12563	NCBITaxon:143786	not found
Brachyspiraceae	Brachyspira pilosicoli 95/1000	NCBITaxon:143786	NCBITaxon:759914
candidate division SHA-4	Candidatus Cloacamonas acidaminovorans	not found	not found
Treponemaceae	Treponema phagedenis F0421	not found	NCBITaxon:754027
Treponemaceae	Treponema vincentii ATCC 35580	not found	NCBITaxon:596324
Thermotogaceae	Fervidobacterium nodosum Rt17-B1	NCBITaxon:188709	NCBITaxon:381764
Thermotogaceae	Kosmotoga olearia TBF 19.5.1	NCBITaxon:188709	NCBITaxon:521045
Thermotogaceae	Petrotoga mobilis SJ95	NCBITaxon:188709	NCBITaxon:403833
Thermotogaceae	Thermosipho africanus TCF52B	NCBITaxon:188709	NCBITaxon:484019
Thermotogaceae	Thermosipho melanesiensis BI429	NCBITaxon:188709	NCBITaxon:391009
Thermotogaceae	Thermotoga lettingae TMO	NCBITaxon:188709	NCBITaxon:416591
unclassified	Thermotogales sp. mesG1.Ag.4.2	NCBITaxon:12908	not found
Porphyromonadaceae	Bacteroidetes sp. F0058	NCBITaxon:171551	not found
Porphyromonadaceae	Odoribacter splanchnicus 1651/6, DSM 20712	NCBITaxon:171551	not found
Porphyromonadaceae	Porphyromonas asaccharolytica PR426713P-I	NCBITaxon:171551	NCBITaxon:910312
Porphyromonadaceae	Porphyromonas endodontalis ATCC 35406	NCBITaxon:171551	NCBITaxon:553175
Porphyromonadaceae	Porphyromonas gingivalis ATCC 33277	NCBITaxon:171551	NCBITaxon:431947
Porphyromonadaceae	Porphyromonas gingivalis TDC60	NCBITaxon:171551	NCBITaxon:1030843
Porphyromonadaceae	Porphyromonas gingivalis W83	NCBITaxon:171551	NCBITaxon:242619
Porphyromonadaceae	Porphyromonas uenonis 60-3	NCBITaxon:171551	NCBITaxon:596327
Porphyromonadaceae	Propionibacterium acidifaciens F0233	NCBITaxon:171551	NCBITaxon:553198
Rikenellaceae	Allstipes putredenis DSM 17216	NCBITaxon:171550	not found
