Step	Substep	Category	File_Current	File_NERSC	Exists_Current	Exists_NERSC	Size_Current	Size_NERSC	Rows_Current	Rows_NERSC	Key_Metric_Current	Key_Metric_NERSC	Difference	Status	Notes
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/classification_butyrate_produces_IBD_microbes_species.json	src/Intermediate_Files/classification_butyrate_produces_IBD_microbes_species.json	Yes	Yes	791705.0	791705.0	28044.0	28044.0			+0 bytes	identical	Identical (MD5 match)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/classification_butyrate_produces_IBD_microbes_strain.json	src/Intermediate_Files/classification_butyrate_produces_IBD_microbes_strain.json	Yes	Yes	1581771.0	1581771.0	55091.0	55091.0			+0 bytes	identical	Identical (MD5 match)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/classification_butyrate_produces_PD_microbes_species.json	src/Intermediate_Files/classification_butyrate_produces_PD_microbes_species.json	Yes	Yes	459170.0	459170.0	16326.0	16326.0			+0 bytes	identical	Identical (MD5 match)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/classification_butyrate_produces_PD_microbes_strain.json	src/Intermediate_Files/classification_butyrate_produces_PD_microbes_strain.json	Yes	Yes	735386.0	735386.0	25721.0	25721.0			+0 bytes	identical	Identical (MD5 match)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_IBD.tsv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_IBD.tsv	Yes	No	13897.0		179.0					added_in_current	NEW in current repo (not in NERSC)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_PD.tsv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_PD.tsv	Yes	No	18237.0		234.0					added_in_current	NEW in current repo (not in NERSC)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_IBD.csv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_IBD.csv	Yes	No	16793.0		179.0					added_in_current	NEW in current repo (not in NERSC)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_PD.csv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_PD.csv	Yes	No	22026.0		234.0					added_in_current	NEW in current repo (not in NERSC)
Code	Code Files	scripts	Makefile	Makefile	Yes	No	4393.0							added_in_current	NEW in current repo (not in NERSC)
Code	Code Files	scripts	src/Classification_gold_standard_comparison.py	src/Classification_gold_standard_comparison.py	Yes	Yes	14092.0	14013.0	248.0	248.0			+79 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Competencies.py	src/Competencies.py	Yes	Yes	96371.0	95312.0	2191.0	2172.0			+1059 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Functional_Annotations.py	src/Functional_Annotations.py	Yes	Yes	2841.0	2828.0	94.0	94.0			+13 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Functional_Annotations_EC.py	src/Functional_Annotations_EC.py	Yes	Yes	3567.0	3566.0	119.0	119.0			+1 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Gold_standard_Competency_analysis.py	src/Gold_standard_Competency_analysis.py	Yes	Yes	21070.0	21035.0	373.0	373.0			+35 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Process_competency_questions.py	src/Process_competency_questions.py	Yes	Yes	4950.0	4930.0	95.0	95.0			+20 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/Vital_gold_standard.py	src/Vital_gold_standard.py	Yes	Yes	1584.0	1584.0	50.0	50.0			+0 bytes	identical	Identical (MD5 match)
Code	Code Files	scripts	src/classification.py	src/classification.py	Yes	Yes	6438.0	6412.0	131.0	131.0			+26 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/classification_permutations.py	src/classification_permutations.py	Yes	Yes	9921.0	9840.0	189.0	189.0			+81 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/classification_utils.py	src/classification_utils.py	Yes	Yes	44632.0	44617.0	913.0	913.0			+15 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/constants.py	src/constants.py	Yes	Yes	4210.0	4153.0	100.0	99.0			+57 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/duckdb_utils.py	src/duckdb_utils.py	Yes	Yes	7204.0	7102.0	272.0	271.0			+102 bytes	differs	Code differs - primarily path updates
Code	Code Files	scripts	src/ncbi_phylogeny_search.py	src/ncbi_phylogeny_search.py	Yes	Yes	33429.0	33388.0	774.0	774.0			+41 bytes	differs	Code differs - primarily path updates
